date,time,home_team,away_team
2026-06-11,19:00,Mexico,South Africa
2026-06-12,02:00,South Korea,Czechia
2026-06-12,19:00,Canada,Bosnia and Herzegovina
2026-06-13,01:00,USA,Paraguay
2026-06-13,19:00,Qatar,Switzerland
2026-06-13,22:00,Brazil,Morocco
2026-06-14,01:00,Haiti,Scotland
2026-06-14,04:00,Australia,Turkiye
2026-06-14,17:00,Germany,Curacao
2026-06-14,20:00,Netherlands,Japan
2026-06-14,23:00,Ivory Coast,Ecuador
2026-06-15,02:00,Sweden,Tunisia
2026-06-15,16:00,Spain,Cape Verde
2026-06-15,19:00,Belgium,Egypt
2026-06-15,22:00,Saudi Arabia,Uruguay
2026-06-16,01:00,Iran,New Zealand
2026-06-16,19:00,France,Senegal
2026-06-16,22:00,Iraq,Norway
2026-06-17,01:00,Argentina,Algeria
2026-06-17,04:00,Austria,Jordan
2026-06-17,17:00,Portugal,DR Congo
2026-06-17,20:00,England,Croatia
2026-06-17,23:00,Ghana,Panama
2026-06-18,02:00,Uzbekistan,Colombia
2026-06-18,16:00,Czechia,South Africa
2026-06-18,19:00,Switzerland,Bosnia and Herzegovina
2026-06-18,22:00,Canada,Qatar
2026-06-19,01:00,Mexico,South Korea
2026-06-19,19:00,USA,Australia
2026-06-19,22:00,Scotland,Morocco
2026-06-20,00:30,Brazil,Haiti
2026-06-20,03:00,Turkiye,Paraguay
2026-06-20,17:00,Netherlands,Sweden
2026-06-20,20:00,Germany,Ivory Coast
2026-06-21,03:00,Ecuador,Curacao
2026-06-21,04:00,Tunisia,Japan
2026-06-21,16:00,Spain,Saudi Arabia
2026-06-21,19:00,Belgium,Iran
2026-06-21,22:00,Uruguay,Cape Verde
2026-06-22,01:00,New Zealand,Egypt
2026-06-22,17:00,Argentina,Austria
2026-06-22,21:00,France,Iraq
2026-06-23,00:00,Norway,Senegal
2026-06-23,03:00,Jordan,Algeria
2026-06-23,17:00,Portugal,Uzbekistan
2026-06-23,20:00,England,Ghana
2026-06-23,23:00,Panama,Croatia
2026-06-24,02:00,Colombia,DR Congo
2026-06-24,19:00,Switzerland,Canada
2026-06-24,19:00,Bosnia and Herzegovina,Qatar
2026-06-24,22:00,Scotland,Brazil
2026-06-24,22:00,Morocco,Haiti
2026-06-25,01:00,Czechia,Mexico
2026-06-25,01:00,South Africa,South Korea
2026-06-25,20:00,Ecuador,Germany
2026-06-25,20:00,Curacao,Ivory Coast
2026-06-25,23:00,Japan,Sweden
2026-06-25,23:00,Tunisia,Netherlands
2026-06-26,02:00,Turkiye,USA
2026-06-26,02:00,Paraguay,Australia
2026-06-26,19:00,Norway,France
2026-06-26,19:00,Senegal,Iraq
2026-06-27,00:00,Cape Verde,Saudi Arabia
2026-06-27,00:00,Uruguay,Spain
2026-06-27,03:00,Egypt,Iran
2026-06-27,03:00,New Zealand,Belgium
2026-06-27,21:00,Panama,England
2026-06-27,21:00,Croatia,Ghana
2026-06-27,23:30,Colombia,Portugal
2026-06-27,23:30,DR Congo,Uzbekistan
2026-06-28,02:00,Algeria,Austria
2026-06-28,02:00,Jordan,Argentina
